Name,id,Start-End,Games,FGm,FGa,FG3m,FG3a,mins,FTm,FTa,Reb,Ast,Stl,Blk,Tov,PF,Pts,FG%,FT%,FG3%,MVPs,All-Stars
Sean Elliott,251,1989-01,742,3852,8290,589,1572,24503,2251,2816,3204,1897,576,284,1328,1626,10544,0.464656212,0.799360795,0.374681934,0,2
Michael Finley,714,1995-10,1232,7252,16350,1587,4242,41493,2666,3292,5247,3512,1074,353,1814,1983,18757,0.443547401,0.809842041,0.374115983,0,2
Joe Fulks,76764,1946-54,489,2824,9338,0,0,4490,2355,3075,1379,587,0,0,0,1774,8003,0.302420218,0.765853659,0,0,2
Jack George,76800,1953-61,506,1901,5226,0,0,15860,1351,1918,2129,2169,0,0,0,1242,5153,0.363758132,0.704379562,0,0,2
Shai Gilgeous-Alexander,1628983,2018-24,386,3083,6216,451,1294,12693,2193,2574,1832,1876,535,293,889,880,8810,0.495978121,0.851981352,0.348531685,0,2
Tyrese Haliburton,1630169,2020-24,337,2064,4326,799,2011,11242,737,864,1271,2902,519,199,790,469,5664,0.477115118,0.853009259,0.397314769,0,2
Roy Hibbert,201579,2008-17,710,2702,5788,6,24,17071,1422,1877,4325,906,249,1192,1070,2167,6832,0.46682792,0.757591902,0.25,0,2
Jrue Holiday,201950,2009-24,975,6180,13355,1466,3953,32263,1910,2436,4075,6201,1407,508,2596,2095,15736,0.462748034,0.78407225,0.370857577,0,2
Allan Houston,275,1993-05,839,5337,12017,1305,3247,28312,2572,2979,2434,1990,566,139,1760,2062,14551,0.444120829,0.863376972,0.401909455,0,2
Rod Hundley,77082,1957-63,431,1382,3978,0,0,9553,861,1195,1420,1455,0,0,0,786,3625,0.347410759,0.720502092,0,0,2
Antawn Jamison,1712,1998-14,1149,8157,18060,1248,3612,40044,3715,5160,8712,1845,1119,442,1805,2759,21277,0.45166113,0.71996124,0.34551495,0,2
Eddie Johnson,698,1981-99,1332,8430,17845,650,1930,35600,3470,4117,5241,2713,812,191,2245,3224,20980,0.472401233,0.842846733,0.336787565,0,2
Eddie Johnson,77144,1977-87,746,4299,9057,133,404,21452,2141,2719,1643,3769,779,91,1867,1834,10872,0.474660484,0.787421846,0.329207921,0,2
John Johnson,77152,1970-82,1022,5233,11775,0,1,29201,2303,2965,5420,3713,587,290,1086,2896,12769,0.444416136,0.776728499,0,0,2
Larry Johnson,913,1991-01,707,4401,9086,367,1104,25688,2281,2978,5300,2298,515,258,1435,1893,11450,0.484371561,0.765950302,0.332427536,0,2
Larry Johnson,77156,1977-78,4,3,13,0,0,38,0,2,5,7,5,2,3,3,6,0.230769231,0,0,0,2
Larry Kenon,77246,1976-83,551,3683,7550,1,11,16287,1448,1820,4089,1326,698,164,1148,1142,8815,0.48781457,0.795604396,0.090909091,0,2
Don Kojis,77295,1963-75,814,3947,8853,0,0,19241,2054,2853,4555,1112,89,16,0,1937,9948,0.445837569,0.719943919,0,0,2
Zach LaVine,203897,2014-24,580,4227,9108,1294,3386,18859,2118,2540,2350,2285,513,171,1517,1255,11866,0.464097497,0.833858268,0.382161843,0,2
David Lee,101135,2005-17,884,4765,8901,1,30,25192,2128,2759,7625,1909,647,357,1520,2284,11659,0.535333109,0.771293947,0.033333333,0,2
Rashard Lewis,1740,1998-14,1106,5896,13061,1874,4869,35368,2581,3207,5723,1857,1167,571,1664,2589,16247,0.451420259,0.804801996,0.38488396,0,2
Jeff Malone,117,1983-96,1014,7700,15948,98,349,32730,3181,3662,2603,2305,633,105,1645,1843,18679,0.482819162,0.86865101,0.280802292,0,2
Danny Manning,330,1988-03,951,5612,11036,44,216,26721,2502,3461,5080,2324,1099,834,2086,3155,13770,0.508517579,0.722912453,0.203703704,0,2
Stephon Marbury,950,1996-09,976,6745,15593,1144,3519,37038,4346,5518,2921,7627,1210,138,2960,2311,18980,0.432565895,0.787604204,0.325092356,0,2
Jack Marin,77463,1966-77,1002,5766,12411,0,0,28281,2719,3219,4885,2121,246,96,0,2793,14251,0.464587866,0.844672258,0,0,2
Brad Miller,1802,1998-12,1014,4104,8521,227,673,28901,3152,3928,7365,2856,767,669,1612,2850,11587,0.481633611,0.802443992,0.337295691,0,2
Ja Morant,1629630,2019-24,257,2103,4455,327,1027,8282,1250,1656,1243,1903,254,74,852,402,5783,0.472053872,0.754830918,0.318403116,0,2
Norm Nixon,77721,1977-89,768,5219,10805,100,340,27250,1527,1978,1991,6386,1187,71,2368,1983,12065,0.483017122,0.771991911,0.294117647,0,2
Joakim Noah,201149,2007-20,672,2248,4574,0,16,18646,1385,1979,6058,1907,534,874,1133,1874,5881,0.491473546,0.699848408,0,0,2
Victor Oladipo,203506,2013-23,537,3353,7728,892,2588,17328,1557,1981,2405,2121,851,244,1349,1283,9155,0.433876812,0.785966683,0.344667697,0,2
Jim Paxson,77818,1956-58,138,363,1124,0,0,3069,379,521,616,225,0,0,0,346,1105,0.322953737,0.727447217,0,0,2
Jim Paxson,77819,1979-90,829,4682,9432,103,456,22158,2079,2572,1638,2376,981,98,1183,1515,11546,0.49639525,0.808320373,0.225877193,0,2
Geoff Petrie,77844,1970-76,446,3970,8719,0,0,16787,1792,2225,1271,2057,247,33,0,1075,9732,0.455327446,0.805393258,0,0,2
Terry Porter,345,1985-02,1274,5428,11734,1297,3360,35356,3433,4107,3872,7160,1583,181,2666,2203,15586,0.462587353,0.835889944,0.386011905,0,2
Zach Randolph,2216,2001-18,1166,7851,16647,231,826,36376,3686,4836,10712,2152,877,317,2404,2762,19619,0.471616507,0.762200165,0.279661017,0,2
Glenn Robinson,299,1994-05,688,5571,12129,620,1823,25342,2472,3016,4189,1879,826,389,2147,1847,14234,0.459312392,0.819628647,0.340098738,0,2
Truck Robinson,77993,1974-85,918,5956,12323,1,1,30455,2993,4448,8897,1603,645,623,1825,2712,14906,0.483323866,0.672886691,1,0,2
Red Rocha,77999,1947-57,586,2276,6158,0,0,10507,1810,2385,2747,1153,0,0,0,2113,6362,0.36960052,0.758909853,0,0,2
Dennis Rodman,23,1986-00,911,2766,5310,82,355,28842,1069,1832,11954,1600,611,531,1484,2843,6683,0.520903955,0.583515284,0.230985915,0,2
Jeff Ruland,78041,1981-93,332,2105,3734,3,19,11088,1550,2159,3378,1002,249,267,1212,1218,5763,0.563738618,0.717924965,0.157894737,0,2
Ken Sears,78106,1955-64,529,2465,5420,0,0,14923,2425,2937,4142,843,0,0,0,1470,7355,0.454797048,0.825672455,0,0,2
Frank Selvy,78113,1954-64,565,2222,5640,0,0,14908,1676,2302,2098,1579,0,0,0,1241,6120,0.393971631,0.728062554,0,0,2
Pascal Siakam,1627783,2016-24,631,4400,8775,651,1961,19748,2033,2670,4208,2340,562,357,1164,1699,11484,0.501424501,0.761423221,0.331973483,0,2
Paul Silas,78151,1964-80,1254,4293,9949,0,0,34989,3196,4748,12357,2572,358,138,333,3105,11782,0.431500653,0.673125527,0,0,2
Jerry Sloan,78173,1965-76,755,4116,9646,0,0,25750,2339,3239,5615,1925,381,32,0,2700,10571,0.42670537,0.722136462,0,0,2
Phil Smith,78199,1974-83,733,4347,9179,24,102,21208,2054,2651,2164,2868,801,192,1145,1893,10772,0.473581,0.774801962,0.235294118,0,2
Randy Smith,78200,1971-83,1056,6949,14783,20,128,32850,3007,3836,3693,4693,1459,57,1256,2695,16925,0.470066969,0.783889468,0.15625,0,2
Jerry Stackhouse,711,1995-13,1049,5810,14157,1035,3397,32768,5003,6109,3333,3481,958,496,2865,1985,17658,0.410397683,0.818955639,0.304680601,0,2
