Name,id,Start-End,Games,FGm,FGa,FG3m,FG3a,mins,FTm,FTa,Reb,Ast,Stl,Blk,Tov,PF,Pts,FG%,FT%,FG3%,MVPs,All-Stars
Antonio Daniels,1498,1997-11,946,2369,5345,381,1214,20696,1804,2273,1690,3111,590,86,990,972,6923,0.443217961,0.79366476,0.31383855,0,0
Dyson Daniels,1630700,2022-24,120,226,519,69,221,2401,60,93,424,298,128,36,116,200,581,0.435452794,0.64516129,0.312217195,0,0
Erik Daniels,2845,2004-05,21,6,18,1,2,72,0,0,18,4,2,0,6,7,13,0.333333333,0,0.5,0,0
Lloyd Daniels,1380,1992-98,252,669,1701,199,651,4459,180,239,546,378,134,74,256,379,1717,0.39329806,0.753138075,0.305683564,0,0
Marquis Daniels,2605,2003-13,548,1772,3933,103,439,11703,672,932,1552,966,509,137,644,882,4319,0.450546656,0.721030043,0.234624146,0,0
Mel Daniels,76502,1976-77,11,13,35,0,0,126,13,23,34,6,3,11,0,29,39,0.371428571,0.565217391,0,0,0
Troy Daniels,203584,2013-20,433,900,2265,644,1654,5974,164,208,531,224,117,25,219,506,2608,0.397350993,0.788461538,0.389359129,0,0
Sasha Danilovic,390,1995-97,131,579,1324,204,550,4120,297,374,318,251,123,21,269,369,1659,0.437311178,0.794117647,0.370909091,0,0
Henry Darcey,76506,1952-53,12,3,18,0,0,90,5,9,10,2,0,0,0,29,11,0.166666667,0.555555556,0,0,0
Jimmy Darden,76507,1949-50,26,78,243,0,0,0,55,80,0,67,0,0,0,67,211,0.320987654,0.6875,0,0,0
Yinka Dare,212,1994-98,110,86,217,0,0,1004,61,107,281,4,12,70,96,179,233,0.396313364,0.570093458,0,0,0
Jesse Dark,76509,1974-75,47,74,157,0,0,401,22,40,37,30,3,1,0,48,170,0.47133758,0.55,0,0,0
Nate Darling,1630268,2020-21,7,2,7,2,7,26,3,3,1,1,0,1,1,1,9,0.285714286,1,0.285714286,0,0
Jimmy Darrow,76511,1961-62,5,3,15,0,0,34,6,7,7,6,0,0,0,9,12,0.2,0.857142857,0,0,0
Gigi Datome,203540,2013-15,76,120,275,43,119,656,10,12,104,29,10,15,29,50,293,0.436363636,0.833333333,0.361344538,0,0
Kornel David,1600,1998-01,168,293,659,0,7,2266,204,249,439,88,69,31,136,256,790,0.44461305,0.819277108,0,0,0
Jermareo Davidson,201176,2007-09,52,68,160,0,0,433,26,45,96,14,9,18,22,58,162,0.425,0.577777778,0,0,0
Brandon Davies,203561,2013-15,105,164,402,18,78,1421,82,127,275,88,60,22,93,210,428,0.407960199,0.645669291,0.230769231,0,0
Aubrey Davis,76515,1946-47,59,107,381,0,0,0,73,115,0,14,0,0,0,136,287,0.280839895,0.634782609,0,0,0
Ben Davis,989,1996-00,40,21,59,0,0,155,12,26,53,5,6,2,7,25,54,0.355932203,0.461538462,0,0,0
Bill Davis,76538,1946-47,47,35,146,0,0,0,14,41,0,11,0,0,0,92,84,0.239726027,0.341463415,0,0,0
Bob Davis,76533,1972-73,9,6,28,0,0,41,4,6,5,2,0,0,0,5,16,0.214285714,0.666666667,0,0,0
Brad Davis,76516,1977-92,1006,3036,5938,270,842,22868,1685,2040,1772,4811,785,149,1408,2199,8027,0.51128326,0.825980392,0.320665083,0,0
Brian Davis,76517,1993-94,68,40,126,1,3,374,50,68,55,22,16,4,19,34,131,0.317460317,0.735294118,0.333333333,0,0
Charlie Davis,76518,1981-90,497,1171,2623,21,139,6050,313,418,1202,380,151,83,406,776,2676,0.446435379,0.748803828,0.151079137,0,0
Charlie Davis,76519,1971-74,219,769,1871,0,0,4072,405,509,335,504,2,0,0,538,1943,0.411010155,0.7956778,0,0,0
Deyonta Davis,1627738,2016-19,107,200,334,0,1,1299,54,85,346,47,21,61,43,177,454,0.598802395,0.635294118,0,0,0
Double D Davis,76521,1972-77,340,1130,2669,0,0,8010,676,926,1991,529,139,149,0,1076,2936,0.423379543,0.730021598,0,0,0
Ed Davis,202334,2010-22,803,2033,3610,0,4,15387,848,1444,5076,602,387,651,595,1940,4914,0.563157895,0.587257618,0,0,0
Edward Davis,76522,1972-77,286,579,1265,0,0,3711,320,380,800,295,76,16,0,363,1478,0.45770751,0.842105263,0,0,0
Emanual Davis,1023,1996-03,226,402,1020,156,443,3935,140,178,440,396,167,29,267,344,1100,0.394117647,0.786516854,0.35214447,0,0
Glen Davis,201175,2007-15,582,1885,4204,14,66,12527,968,1384,2587,534,415,202,604,1397,4752,0.448382493,0.699421965,0.212121212,0,0
Harry Davis,76523,1978-80,44,72,165,0,0,424,31,45,72,16,14,8,26,74,175,0.436363636,0.688888889,0,0,0
Hubert Davis,93,1992-04,768,2305,5044,806,1823,16912,695,827,1192,1286,334,45,730,1144,6111,0.456978588,0.840386941,0.44212836,0,0
James Davis,76524,1955-56,3,0,6,0,0,16,2,2,4,1,0,0,0,2,2,0,1,0,0,0
Jim Davis,76525,1967-75,672,1665,3629,0,0,11010,1061,1579,3385,790,89,66,0,1601,4391,0.458804078,0.671944269,0,0,0
Johnny Davis,76526,1976-86,816,3847,8602,36,200,22214,2397,2915,1560,3585,720,120,1476,1545,10127,0.447221576,0.822298456,0.18,0,0
Johnny Davis,1631098,2022-24,78,128,325,31,110,1037,28,51,137,60,28,18,30,105,315,0.393846154,0.549019608,0.281818182,0,0
Josh Davis,2668,2003-12,73,58,157,23,72,514,23,32,119,20,19,5,22,73,162,0.369426752,0.71875,0.319444444,0,0
Mark Davis,707,1995-00,230,473,1071,28,114,3685,287,438,697,294,200,75,324,481,1261,0.441643324,0.655251142,0.245614035,0,0
Mark Davis,76528,1988-89,66,98,204,2,20,516,56,68,74,28,26,10,24,78,254,0.480392157,0.823529412,0.1,0,0
Mel Davis,76529,1973-77,246,599,1611,0,0,3666,210,297,1109,235,97,27,0,457,1408,0.371818746,0.707070707,0,0,0
Michael Davis,76530,1982-83,8,4,10,0,0,28,6,10,10,0,0,4,0,4,14,0.4,0.6,0,0,0
Mike Davis,76531,1969-73,204,840,1979,0,0,4298,509,659,470,365,0,0,0,580,2189,0.424456796,0.772382398,0,0,0
Monti Davis,76520,1980-81,4,2,10,0,0,20,2,10,8,0,0,2,0,0,6,0.2,0.2,0,0,0
Paul Davis,200781,2006-10,82,88,219,0,1,702,41,56,158,32,22,15,30,105,217,0.401826484,0.732142857,0,0,0
Ralph Davis,76532,1960-62,150,545,1332,0,0,3202,105,155,248,424,0,0,0,314,1195,0.409159159,0.677419355,0,0,0
Ricky Davis,1729,1998-10,893,4777,10664,708,1996,27607,2306,2967,3259,3079,919,226,2008,1791,12568,0.447955739,0.777216043,0.354709419,0,0
Ron Davis,76534,1976-82,78,157,374,2,8,951,101,177,139,53,43,11,66,115,417,0.419786096,0.570621469,0.25,0,0
Terence Davis,1629056,2019-23,288,856,1979,428,1168,4734,211,256,778,388,195,65,288,492,2351,0.432541688,0.82421875,0.366438356,0,0
Terry Davis,426,1989-01,480,1202,2545,3,19,10366,654,1081,2887,273,183,149,518,1176,3061,0.472298625,0.604995375,0.157894737,0,0
Tyler Davis,1629093,2018-19,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Walt Davis,76536,1953-58,325,623,1651,0,0,5344,312,449,1397,231,0,0,0,915,1558,0.377347062,0.694877506,0,0,0
JD Davison,1631120,2022-24,20,13,31,5,14,105,4,6,19,21,3,3,6,9,35,0.419354839,0.666666667,0.357142857,0,0
Andre Dawkins,203958,2014-15,4,1,6,1,6,22,0,0,2,1,0,0,1,3,3,0.166666667,0,0.166666667,0,0
Darryl Dawkins,76539,1975-89,732,3479,6088,2,15,17268,1783,2608,4437,919,345,1025,1628,2798,8743,0.571452037,0.683665644,0.133333333,0,0
Johnny Dawkins,1008,1986-95,541,2361,5175,180,545,14859,1082,1262,1336,2997,618,29,1108,837,5984,0.456231884,0.857369255,0.330275229,0,0
Paul Dawkins,76541,1979-80,57,141,300,1,5,776,33,48,125,77,33,9,76,112,316,0.47,0.6875,0.2,0,0
Branden Dawson,1626183,2015-16,6,2,5,0,0,29,1,1,4,0,0,1,0,2,5,0.4,1,0,0,0
Eric Dawson,201286,2011-12,4,7,12,0,0,39,1,2,10,0,1,2,3,6,15,0.583333333,0.5,0,0,0
Tony Dawson,76542,1990-95,6,7,15,2,4,30,1,1,5,1,0,0,3,4,17,0.466666667,1,0.5,0,0
Todd Day,103,1992-01,562,2335,5834,668,1948,14020,1501,2014,1873,820,613,342,826,1573,6839,0.400239973,0.745283019,0.342915811,0,0
Austin Daye,201948,2009-15,404,731,1827,265,741,5300,237,307,989,279,146,148,261,619,1964,0.400109469,0.771986971,0.357624831,0,0
Darren Daye,76543,1983-88,390,950,1932,2,17,5939,559,836,969,748,216,60,486,707,2461,0.491718427,0.668660287,0.117647059,0,0
Darius Days,1630620,2022-23,4,5,12,3,10,25,2,2,6,1,0,1,0,2,15,0.416666667,1,0.3,0,0
Nando De Colo,201986,2012-14,166,233,547,67,188,1908,97,114,284,268,85,18,151,183,630,0.425959781,0.850877193,0.356382979,0,0
Andrew DeClercq,692,1995-05,634,1256,2483,0,2,10940,674,1073,2743,370,440,330,604,1950,3186,0.50583971,0.628145387,0,0,0
Javin DeLaurier,1629602,2021-22,1,0,0,0,0,3,0,0,1,0,1,0,0,1,0,NA,0,0,0,0
Nate DeLong,76551,1951-52,17,20,42,0,0,132,24,35,31,14,0,0,0,47,64,0.476190476,0.685714286,0,0,0
Hank DeZonie,76562,1950-51,5,6,25,0,0,0,5,7,18,9,0,0,0,6,17,0.24,0.714285714,0,0,0
Greg Deane,76544,1979-80,7,2,11,1,1,48,5,7,6,6,0,0,3,3,10,0.181818182,0.714285714,1,0,0
Gabriel Deck,1630466,2020-22,17,40,81,4,19,268,18,22,46,29,9,0,8,11,102,0.49382716,0.818181818,0.210526316,0,0
Dewayne Dedmon,203473,2013-23,628,1504,2934,221,703,10486,578,793,3480,411,299,491,596,1564,3807,0.51261077,0.72887768,0.314366999,0,0
Archie Dees,76546,1958-62,190,575,1429,0,0,3092,398,501,907,132,0,0,0,385,1548,0.402379286,0.794411178,0,0,0
Terry Dehere,143,1993-99,428,1113,2717,344,906,7594,748,961,612,1061,220,39,633,860,3318,0.409642989,0.778355879,0.379690949,0,0
Red Dehnert,76548,1946-47,10,6,15,0,0,0,2,6,0,0,0,0,0,8,14,0.4,0.333333333,0,0,0
Bryce Dejean-Jones,1626214,2015-16,14,28,69,12,32,279,11,21,48,15,10,2,11,17,79,0.405797101,0.523809524,0.375,0,0
Sam Dekker,1626155,2015-22,248,571,1200,108,371,3886,131,216,755,206,139,44,122,248,1381,0.475833333,0.606481481,0.291105121,0,0
Vinny Del Negro,219,1988-02,836,2969,6265,244,690,20122,1110,1317,1892,2610,602,68,854,1544,7292,0.473902634,0.842824601,0.353623188,0,0
Malcolm Delaney,1627098,2016-18,127,254,673,72,234,2262,149,185,223,356,74,7,161,194,729,0.377414562,0.805405405,0.307692308,0,0
Bison Dele,183,1991-99,413,1847,3499,2,14,10004,840,1215,2564,440,320,355,822,1297,4536,0.527865104,0.691358025,0.142857143,0,0
Carlos Delfino,2568,2004-13,507,1472,3669,678,1856,11581,493,650,1815,887,461,88,509,827,4115,0.401199237,0.758461538,0.365301724,0,0
Angel Delgado,1629116,2018-19,2,1,5,0,0,15,1,2,4,0,1,0,0,2,3,0.2,0.5,0,0,0
Tony Delk,960,1996-06,709,2485,6140,601,1794,15217,946,1233,1779,1361,586,100,760,1084,6517,0.404723127,0.767234388,0.335005574,0,0
Matthew Dellavedova,203521,2013-23,527,992,2565,453,1257,10099,355,427,888,1871,227,23,630,940,2792,0.386744639,0.831381733,0.360381862,0,0
Fennis Dembo,76552,1988-89,31,14,42,0,4,74,8,10,23,5,1,0,7,15,36,0.333333333,0.8,0,0,0
Larry Demic,76553,1979-82,206,397,865,0,3,3192,182,314,805,106,72,49,252,524,976,0.458959538,0.579617834,0,0,0
Dell Demps,725,1993-97,20,21,42,1,3,107,16,21,9,9,6,1,13,12,59,0.5,0.761904762,0.333333333,0,0
George Dempsey,76555,1954-59,315,591,1453,0,0,5720,392,593,1125,711,0,0,0,602,1574,0.406744666,0.661045531,0,0,0
Kenny Dennard,76556,1981-84,95,109,254,3,10,1244,47,73,286,93,74,17,69,191,268,0.429133858,0.643835616,0.3,0,0
Blaine Denning,76557,1952-53,1,2,5,0,0,9,1,1,4,0,0,0,0,3,5,0.4,1,0,0,0
Dexter Dennis,1641926,2023-24,4,10,19,1,8,30,1,3,9,4,0,1,3,1,22,0.526315789,0.333333333,0.125,0,0
Justin Dentmon,202458,2011-13,14,20,58,4,28,186,8,12,16,20,4,0,14,20,52,0.344827586,0.666666667,0.142857143,0,0
Randy Denton,76558,1976-77,45,103,256,0,0,700,33,47,218,33,14,16,0,100,239,0.40234375,0.70212766,0,0,0
Rod Derline,76559,1974-76,107,215,513,0,0,1005,88,112,86,71,34,5,0,69,518,0.419103314,0.785714286,0,0,0
Marcus Derrickson,1629094,2018-19,11,16,33,10,20,67,4,5,13,1,0,1,3,9,46,0.484848485,0.8,0.5,0,0
Dave Deutsch,76560,1966-67,19,6,36,0,0,93,9,20,21,15,0,0,0,17,21,0.166666667,0.45,0,0,0
Walter Devlin,76561,1955-58,210,560,1532,0,0,4025,376,507,449,446,0,0,0,337,1496,0.365535248,0.741617357,0,0,0
Ernie DiGregorio,76568,1973-78,364,1356,3261,0,0,8465,489,544,660,1731,208,15,186,700,3201,0.415823367,0.898897059,0,0,0
Donte DiVincenzo,1628978,2018-24,396,1451,3453,817,2195,10011,407,520,1725,1092,470,103,569,700,4126,0.420214306,0.782692308,0.372209567,0,0
Moussa Diabate,1631217,2022-24,33,34,66,1,2,259,19,30,74,8,12,9,11,19,88,0.515151515,0.633333333,0.5,0,0
Mamadi Diakite,1629603,2020-24,61,73,149,8,36,553,27,39,131,22,17,25,24,79,181,0.489932886,0.692307692,0.222222222,0,0
Derrick Dial,1760,1999-04,114,144,397,9,53,985,57,82,189,98,31,15,51,64,354,0.362720403,0.695121951,0.169811321,0,0
Cheick Diallo,1627767,2016-22,183,401,673,2,7,2186,154,199,759,78,56,73,117,273,958,0.595839525,0.773869347,0.285714286,0,0
Hamidou Diallo,1628977,2018-24,317,1132,2304,104,359,6144,508,810,1281,384,266,100,356,714,2876,0.491319444,0.627160494,0.289693593,0,0
Boris Diaw,2564,2003-17,1202,4409,8946,581,1693,32951,1177,1652,5346,4222,743,588,2224,2596,10576,0.492845965,0.712469734,0.343177791,0,0
Yakhouba Diawara,200821,2006-10,187,233,653,122,405,2614,67,103,258,122,52,16,72,276,655,0.356814701,0.650485437,0.301234568,0,0
Guillermo Diaz,200799,2007-08,6,1,4,0,1,18,3,5,2,1,0,0,0,0,5,0.25,0.6,0,0,0
Gradey Dick,1641711,2023-24,60,189,445,88,241,1268,44,51,132,68,34,2,50,87,510,0.424719101,0.862745098,0.365145228,0,0
Dan Dickau,2424,2002-08,414,951,2371,274,800,7002,551,663,611,1137,257,15,495,759,2727,0.401096584,0.83107089,0.3425,0,0
Kaniel Dickens,2079,2003-08,19,8,20,3,9,84,3,4,12,2,2,2,3,9,22,0.4,0.75,0.333333333,0,0
Henry Dickerson,76563,1975-77,23,15,41,0,0,175,15,24,5,19,3,1,0,30,45,0.365853659,0.625,0,0,0
Michael Dickerson,1722,1998-03,212,1219,2824,288,717,7494,531,677,609,553,213,85,407,551,3257,0.431657224,0.784342688,0.40167364,0,0
Derrek Dickey,76564,1973-78,368,941,2016,0,0,5838,284,377,1672,367,143,64,80,665,2166,0.466765873,0.75331565,0,0,0
Dick Dickey,76565,1951-52,45,40,136,0,0,440,47,69,81,50,0,0,0,79,127,0.294117647,0.68115942,0,0,0
Travis Diener,101143,2005-10,188,300,778,165,472,2711,95,115,246,440,80,9,99,202,860,0.385604113,0.826086957,0.349576271,0,0
Gorgui Dieng,203476,2013-23,729,1987,4027,280,774,14275,1059,1335,4028,958,545,624,779,1519,5313,0.493419419,0.793258427,0.361757106,0,0
Ousmane Dieng,1631172,2022-24,72,125,297,47,168,934,29,39,156,83,22,12,45,64,326,0.420875421,0.743589744,0.279761905,0,0
Connie Dierking,76566,1958-71,828,3210,7740,0,0,17505,1521,2208,5426,1185,0,0,0,2354,7941,0.414728682,0.688858696,0,0,0
Coby Dietrick,76567,1976-83,480,1210,2588,3,16,9241,492,664,1869,990,428,284,481,1247,2915,0.467542504,0.740963855,0.1875,0,0
Mickey Dillard,76569,1981-82,33,29,79,0,4,221,15,23,15,34,8,2,17,40,73,0.367088608,0.652173913,0,0,0
Bob Dille,76570,1946-47,57,111,563,0,0,0,74,111,0,40,0,0,0,92,296,0.197158082,0.666666667,0,0,0
John Dillon,76571,1949-50,22,10,55,0,0,0,16,22,0,5,0,0,0,19,36,0.181818182,0.727272727,0,0,0
Byron Dinkins,76574,1989-91,57,72,177,1,9,660,42,48,64,113,23,2,63,60,187,0.406779661,0.875,0.111111111,0,0
Jackie Dinkins,76575,1971-72,18,17,41,0,0,89,11,20,20,7,0,0,0,10,45,0.414634146,0.55,0,0,0
Bill Dinwiddie,76576,1967-72,220,404,1095,0,0,2760,166,272,720,129,0,0,0,381,974,0.368949772,0.610294118,0,0,0
Spencer Dinwiddie,203915,2014-24,764,3358,8078,1275,3762,21942,2298,2886,2396,4021,540,209,1245,1699,10289,0.415696955,0.796257796,0.33891547,0,0
Ike Diogu,101113,2005-12,313,654,1298,2,4,3770,523,665,948,97,47,94,279,570,1833,0.50385208,0.786466165,0.5,0,0
DeSagana Diop,2205,2001-13,755,671,1528,1,6,10737,238,517,2884,342,282,774,452,1493,1581,0.439136126,0.460348162,0.166666667,0,0
Fred Diute,76578,1954-55,7,2,21,0,0,72,7,12,13,4,0,0,0,12,11,0.095238095,0.583333333,0,0,0
Juan Dixon,2413,2002-09,570,1805,4354,440,1270,11104,669,799,1049,995,438,45,707,972,4719,0.414561323,0.837296621,0.346456693,0,0
Aleksandar Djordjevic,1059,1996-97,8,8,16,5,7,62,4,5,5,5,0,0,5,3,25,0.5,0.8,0.714285714,0,0
Earl Dodd,76580,1949-50,9,6,27,0,0,0,3,5,0,6,0,0,0,13,15,0.222222222,0.6,0,0,0
Michael Doleac,1720,1998-08,659,1386,3160,1,8,9813,434,544,2220,387,223,245,424,1457,3207,0.438607595,0.797794118,0.125,0,0
Joe Dolhon,76581,1949-51,77,160,514,0,0,0,174,237,18,174,0,0,0,225,494,0.311284047,0.734177215,0,0,0
Bob Doll,76582,1946-50,196,633,2211,0,0,0,387,585,0,273,0,0,0,509,1653,0.286295794,0.661538462,0,0,0
Luka Doncic,1629029,2018-24,400,3898,8296,1201,3457,13943,2473,3309,3472,3317,467,182,1598,902,11470,0.469864995,0.747355697,0.34741105,0,0
Bob Donham,76584,1950-54,273,662,1379,0,0,4866,494,975,1071,706,0,0,0,850,1818,0.480058013,0.506666667,0,0,0
Billy Donovan,76586,1987-88,44,44,109,0,7,364,17,21,25,87,16,1,42,33,105,0.403669725,0.80952381,0,0,0
Harry Donovan,76585,1949-50,45,90,275,0,0,0,73,106,0,38,0,0,0,107,253,0.327272727,0.688679245,0,0,0
Keyon Dooling,2039,2000-13,728,1810,4356,446,1277,14134,1001,1253,964,1601,463,75,803,1221,5067,0.415518825,0.798882682,0.349256069,0,0
Jacky Dorsey,76587,1977-81,71,68,175,0,0,537,41,73,171,21,14,9,34,106,177,0.388571429,0.561643836,0,0,0
Joey Dorsey,201595,2008-15,145,151,286,0,1,1595,65,172,556,57,70,46,92,277,367,0.527972028,0.377906977,0,0,0
Tyler Dorsey,1628416,2017-23,155,362,915,161,465,2378,121,185,358,191,45,9,91,169,1006,0.395628415,0.654054054,0.346236559,0,0
Luguentz Dort,1629652,2019-24,292,1253,3113,564,1626,8546,653,822,1110,470,269,111,355,851,3723,0.402505622,0.794403893,0.346863469,0,0
Ayo Dosunmu,1630245,2021-24,233,919,1824,248,670,6420,204,265,650,704,190,91,310,530,2290,0.503837719,0.769811321,0.370149254,0,0
Damyean Dotson,1628422,2017-22,213,603,1446,253,733,4242,135,190,532,315,109,20,151,255,1594,0.417012448,0.710526316,0.345156889,0,0
Devon Dotson,1629653,2020-23,28,23,54,4,20,188,5,9,24,30,10,0,8,23,55,0.425925926,0.555555556,0.2,0,0
Quincy Douby,200763,2006-09,170,264,681,82,264,1836,93,105,184,118,55,26,100,155,703,0.387665198,0.885714286,0.310606061,0,0
Bruce Douglas,76588,1986-87,8,7,24,0,1,98,0,4,14,17,9,0,9,9,14,0.291666667,0,0,0,0
John Douglas,76589,1981-83,67,182,395,19,61,1043,69,104,91,147,48,9,92,147,452,0.460759494,0.663461538,0.31147541,0,0
Leon Douglas,76590,1976-83,456,1386,2798,0,1,10111,815,1355,2954,479,210,325,660,1631,3587,0.495353824,0.601476015,0,0,0
Sherman Douglas,428,1989-01,886,3797,7824,195,696,24229,1834,2687,1915,5144,873,90,2023,1856,9623,0.485301636,0.68254559,0.280172414,0,0
Toney Douglas,201962,2009-17,516,1354,3361,557,1574,9474,480,578,1100,1108,439,38,525,1001,3745,0.402856293,0.830449827,0.353875476,0,0
Chris Douglas-Roberts,201604,2008-15,222,574,1309,84,255,4381,339,408,472,254,128,55,200,287,1571,0.438502674,0.830882353,0.329411765,0,0
Sekou Doumbouya,1629635,2019-22,96,204,526,55,215,1639,79,114,267,66,47,19,81,175,542,0.3878327,0.692982456,0.255813953,0,0
Lloyd Dove,76592,1967-69,57,69,175,0,0,398,36,62,114,23,0,0,0,76,174,0.394285714,0.580645161,0,0,0
Zabian Dowdell,202220,2010-11,24,51,125,3,10,292,16,17,20,51,20,2,29,30,121,0.408,0.941176471,0.3,0,0
Bill Downey,76593,1947-48,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Downing,76594,1973-75,27,21,66,0,0,146,22,40,41,11,5,0,0,33,64,0.318181818,0.55,0,0,0
Jeff Dowtin Jr.,1630288,2021-24,55,61,145,16,53,617,13,17,79,78,26,6,20,24,151,0.420689655,0.764705882,0.301886792,0,0
Danny Doyle,76595,1962-63,4,6,12,0,0,25,4,5,8,3,0,0,0,4,16,0.5,0.8,0,0,0
Milton Doyle,1628495,2017-18,10,13,47,4,23,125,4,8,18,10,6,2,2,13,34,0.276595745,0.5,0.173913043,0,0
PJ Dozier,1628408,2017-23,121,268,667,83,270,1973,74,110,332,199,64,35,92,174,693,0.4017991,0.672727273,0.307407407,0,0
Terry Dozier,76596,1989-90,9,9,27,0,1,92,4,8,15,3,6,2,7,10,22,0.333333333,0.5,0,0,0
Goran Dragic,201609,2008-23,1173,5497,11958,1364,3803,30846,2530,3328,3378,5196,1036,200,2451,2549,14888,0.459692256,0.760216346,0.358664212,0,0
Zoran Dragic,204054,2014-15,32,22,60,6,28,150,6,10,16,10,4,0,10,12,56,0.366666667,0.6,0.214285714,0,0
Greg Dreiling,1068,1986-97,474,375,803,3,9,4239,261,402,1018,186,82,137,250,923,1014,0.466998755,0.649253731,0.333333333,0,0
Henri Drell,1630929,2023-24,4,4,10,2,6,30,1,2,4,4,2,1,2,6,11,0.4,0.5,0.333333333,0,0
Bryce Drew,1724,1998-04,243,419,1096,150,404,3967,93,112,295,524,123,10,209,291,1081,0.38229927,0.830357143,0.371287129,0,0
Larry Drew,76599,1980-91,714,3308,7085,118,405,18370,1376,1724,1265,3702,791,45,1565,1286,8110,0.466901905,0.798143852,0.291358025,0,0
Larry Drew II,203580,2014-18,32,34,106,10,44,359,2,3,21,65,6,0,31,25,80,0.320754717,0.666666667,0.227272727,0,0
Nate Driggers,1041,1996-97,15,13,43,0,9,133,10,14,22,6,3,2,6,10,36,0.302325581,0.714285714,0,0,0
Terry Driscoll,76603,1970-75,304,543,1276,0,0,4245,252,365,1326,244,22,16,0,681,1338,0.425548589,0.690410959,0,0,0
Predrag Drobnjak,1542,2001-05,278,903,2125,66,194,5542,315,394,973,225,132,117,242,512,2187,0.424941176,0.799492386,0.340206186,0,0
Ralph Drollinger,76604,1980-81,6,7,14,0,0,67,1,4,19,14,1,2,13,16,15,0.5,0.25,0,0,0
Dennis DuVal,76623,1974-76,50,39,108,0,0,267,18,27,31,34,22,4,0,49,96,0.361111111,0.666666667,0,0,0
Chris Duarte,1630537,2021-24,160,471,1164,193,556,3158,177,217,447,222,109,27,157,240,1312,0.404639175,0.815668203,0.347122302,0,0
Dick Duckett,76605,1957-58,34,54,158,0,0,424,24,27,56,47,0,0,0,60,132,0.341772152,0.888888889,0,0,0
Charles Dudley,76607,1972-79,361,686,1380,0,0,6337,536,798,1089,1230,284,13,227,722,1908,0.497101449,0.671679198,0,0,0
Chris Dudley,201,1987-03,950,1537,3735,0,5,17675,749,1690,5880,414,375,1099,824,2492,3823,0.411512718,0.443195266,0,0,0
Jared Dudley,201162,2007-21,972,2544,5482,912,2321,21274,1005,1381,3054,1451,767,175,806,1741,7005,0.46406421,0.727733526,0.39293408,0,0
Terry Duerod,76608,1979-83,193,533,1162,31,86,2428,111,160,204,206,80,21,160,170,1208,0.45869191,0.69375,0.360465116,0,0
Bob Duffy,76609,1946-47,34,14,64,0,0,0,10,14,0,0,0,0,0,34,38,0.21875,0.714285714,0,0,0
Bob Duffy,76610,1962-65,94,164,414,0,0,1123,72,111,104,167,0,0,0,94,400,0.396135266,0.648648649,0,0,0
Chris Duhon,2768,2004-13,606,1353,3440,649,1788,15527,591,754,1364,2690,471,36,925,965,3946,0.393313953,0.783819629,0.362975391,0,0
Duje Dukan,1626251,2015-16,1,2,10,2,5,24,0,0,4,1,1,0,0,2,6,0.2,0,0.4,0,0
David Duke Jr.,1630561,2021-24,49,85,204,13,55,620,32,41,106,43,26,8,30,71,215,0.416666667,0.780487805,0.236363636,0,0
Richard Dumas,30,1992-96,102,434,852,3,13,2226,209,301,351,111,137,47,150,228,1080,0.509389671,0.694352159,0.230769231,0,0
Tony Dumas,434,1994-98,180,442,1109,106,340,2502,236,387,214,211,75,21,164,301,1226,0.398557259,0.609819121,0.311764706,0,0
Andy Duncan,76615,1948-51,136,294,720,0,0,0,158,265,30,101,0,0,0,366,746,0.408333333,0.596226415,0,0,0
Mike Dunleavy,2399,2002-17,1121,4412,9996,1427,3818,30762,2121,2647,4757,2463,818,353,1546,2256,12372,0.441376551,0.801284473,0.373755893,0,0
Mike Dunleavy,76616,1976-90,453,1331,2859,142,419,8547,745,922,699,1751,338,26,725,1025,3549,0.465547394,0.80802603,0.338902148,0,0
Kris Dunn,1627739,2016-24,333,1079,2470,186,575,7714,298,403,1104,1407,469,144,560,917,2642,0.436842105,0.739454094,0.323478261,0,0
Pat Dunn,76617,1957-58,28,28,90,0,0,206,14,17,31,28,0,0,0,20,70,0.311111111,0.823529412,0,0,0
T.R. Dunn,76618,1977-91,993,2030,4443,1,20,23080,972,1341,4371,1631,1316,252,815,2072,5033,0.456898492,0.724832215,0.05,0,0
Ronald Dupree,2648,2003-11,162,219,513,5,13,1779,116,206,347,101,58,29,90,252,559,0.426900585,0.563106796,0.384615385,0,0
Jalen Duren,1631105,2022-24,128,607,962,0,6,3447,239,338,1304,222,77,106,221,374,1453,0.630977131,0.707100592,0,0,0
John Duren,76619,1980-83,201,317,729,3,25,2947,75,100,226,411,104,11,205,400,712,0.43484225,0.75,0.12,0,0
Pat Durham,1090,1992-95,64,123,262,5,26,930,72,108,108,57,37,33,52,120,323,0.469465649,0.666666667,0.192307692,0,0
Devin Durrant,76621,1984-86,63,122,295,0,3,807,73,106,132,85,22,10,81,116,317,0.413559322,0.688679245,0,0,0
Ken Durrett,76622,1971-75,168,259,608,0,0,1650,131,209,335,72,31,21,0,269,649,0.425986842,0.626794258,0,0,0
Trevon Duval,1628979,2018-19,3,2,3,1,1,6,0,0,1,2,0,0,0,0,5,0.666666667,0,1,0,0
