Player,G,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Olivier-Maxence Prosper,52,584,70,174,0.402,12,51,0.235,0.437,49,76,0.645,44,82,126,40,26,6,14,28,201
Jock Landale,42,500,81,152,0.533,11,26,0.423,0.569,27,40,0.675,56,81,137,37,13,10,21,49,200
Jalen Pickett,49,666,77,180,0.428,40,101,0.396,0.539,6,8,0.75,15,56,71,107,19,5,24,38,200
Kai Jones,40,468,87,109,0.798,1,5,0.2,0.803,23,32,0.719,40,85,125,25,15,23,18,50,198
Mouhamed Gueye,33,533,72,171,0.421,21,81,0.259,0.482,32,42,0.762,44,95,139,27,28,33,15,55,197
Jamal Cain,37,502,68,158,0.43,26,80,0.325,0.513,34,50,0.68,27,58,85,22,23,9,22,46,196
Collin Gillespie,33,461,68,158,0.43,39,90,0.433,0.554,19,22,0.864,22,56,78,78,21,5,17,30,194
Duop Reath,46,469,70,166,0.422,34,106,0.321,0.524,20,22,0.909,44,48,92,26,12,14,16,41,194
Craig Porter Jr.,51,513,72,140,0.514,21,48,0.438,0.589,23,32,0.719,19,48,67,71,17,15,38,25,188
Jae'Sean Tate,52,588,70,148,0.473,16,46,0.348,0.527,32,47,0.681,50,67,117,47,26,7,22,82,188
Zeke Nnaji,57,608,70,141,0.496,17,52,0.327,0.557,27,44,0.614,33,57,90,23,25,38,14,62,184
Paul Reed,45,438,72,142,0.507,8,28,0.286,0.535,32,42,0.762,40,83,123,44,39,25,26,75,184
Tre Mann,13,319,70,161,0.435,24,60,0.4,0.509,19,21,0.905,12,26,38,39,7,4,25,24,183
Vince Williams Jr.,27,499,67,167,0.401,26,95,0.274,0.479,19,24,0.792,22,76,98,55,12,7,33,45,179
Cory Joseph,50,612,62,154,0.403,39,107,0.364,0.529,14,18,0.778,17,57,74,72,26,4,18,50,177
Dante Exum,20,372,64,134,0.478,23,53,0.434,0.563,23,31,0.742,4,29,33,56,12,3,22,34,174
Jeff Green,32,396,61,121,0.504,29,79,0.367,0.624,21,26,0.808,11,47,58,20,6,4,9,32,172
Kessler Edwards,40,608,67,135,0.496,22,54,0.407,0.578,12,13,0.923,22,93,115,42,19,20,16,62,168
Keaton Wallace,31,501,65,162,0.401,27,82,0.329,0.485,11,11,1,7,43,50,81,28,9,33,39,168
Jaylon Tyson,47,453,64,149,0.43,20,58,0.345,0.497,19,24,0.792,37,59,96,44,13,3,26,50,167
Grant Williams,16,479,54,123,0.439,27,74,0.365,0.549,31,37,0.838,18,64,82,37,18,13,28,46,166
Jaylen Clark,40,522,56,120,0.467,22,51,0.431,0.558,29,37,0.784,26,27,53,26,36,2,8,61,163
Quenton Jackson,28,381,58,122,0.475,15,40,0.375,0.537,31,40,0.775,14,30,44,53,21,5,16,43,162
Micah Potter,38,705,57,135,0.422,31,98,0.316,0.537,17,20,0.85,43,121,164,31,14,14,31,50,162
Daniel Theis,38,621,61,129,0.473,9,37,0.243,0.508,31,37,0.838,44,120,164,60,18,20,25,70,162
Jordan Goodwin,29,543,63,144,0.438,26,68,0.382,0.528,9,11,0.818,38,74,112,42,30,11,26,43,161
Charles Bassey,36,376,68,117,0.581,0,0,,0.581,21,33,0.636,56,96,152,17,14,30,23,50,157
Colby Jones,39,515,59,129,0.457,16,49,0.327,0.519,23,35,0.657,21,66,87,44,26,13,23,37,157
Rayan Rupert,52,460,58,142,0.408,16,59,0.271,0.465,23,30,0.767,26,44,70,25,16,4,30,37,155
Jevon Carter,36,321,55,146,0.377,35,105,0.333,0.497,8,10,0.8,4,35,39,40,13,3,11,15,153
David Roddy,33,410,57,125,0.456,19,61,0.311,0.532,20,26,0.769,13,71,84,35,14,9,22,20,153
Jordan Miller,37,420,58,134,0.433,8,38,0.211,0.463,28,35,0.8,23,35,58,34,17,5,26,26,152
Trevelin Queen,31,430,56,147,0.381,22,77,0.286,0.456,18,21,0.857,26,28,54,38,31,10,22,38,152
Wendell Moore Jr.,36,499,59,126,0.468,14,41,0.341,0.524,18,22,0.818,30,65,95,42,20,5,27,31,150
Bones Hyland,24,239,47,118,0.398,32,82,0.39,0.534,23,26,0.885,5,20,25,32,18,4,25,29,149
Dominick Barlow,35,375,60,113,0.531,7,27,0.259,0.562,21,33,0.636,35,50,85,19,9,16,5,47,148
Doug McDermott,42,342,50,117,0.427,44,101,0.436,0.615,3,5,0.6,3,19,22,7,4,2,6,30,147
Jarred Vanderbilt,36,581,59,121,0.488,9,32,0.281,0.525,20,36,0.556,68,114,182,41,35,10,29,67,147
Gary Harris,48,711,51,133,0.383,36,101,0.356,0.519,7,12,0.583,20,44,64,30,26,12,17,45,145
Bismack Biyombo,28,528,67,114,0.588,0,0,,0.588,10,25,0.4,43,115,158,31,16,23,27,52,144
Keion Brooks Jr.,14,332,53,109,0.486,14,43,0.326,0.55,22,30,0.733,12,46,58,13,10,10,12,30,142
Ousmane Dieng,37,405,54,125,0.432,23,71,0.324,0.524,11,16,0.688,18,63,81,31,17,7,18,33,142
Devin Carter,36,396,47,127,0.37,18,61,0.295,0.441,26,44,0.591,19,57,76,41,21,4,18,39,138
Luka Garza,39,219,52,105,0.495,10,36,0.278,0.543,24,35,0.686,31,23,54,11,6,3,12,29,138
Kyle Lowry,35,659,41,117,0.35,29,88,0.33,0.474,27,33,0.818,11,56,67,96,33,11,21,62,138
Terrence Shannon Jr.,32,339,55,114,0.482,11,31,0.355,0.531,17,21,0.81,10,37,47,32,7,5,15,27,138
Mo Bamba,32,413,52,112,0.464,15,54,0.278,0.531,19,27,0.704,32,113,145,18,9,31,20,56,138
Reggie Jackson,31,384,52,133,0.391,25,74,0.338,0.485,7,9,0.778,8,34,42,45,16,3,17,34,136
Marvin Bagley III,31,265,55,106,0.519,3,19,0.158,0.533,23,35,0.657,38,46,84,11,9,8,12,18,136
Dillon Jones,54,551,51,133,0.383,16,63,0.254,0.444,17,28,0.607,30,91,121,58,16,4,28,54,135
Isaac Jones,40,304,54,83,0.651,3,8,0.375,0.669,23,36,0.639,22,35,57,12,5,10,16,30,134
Hunter Tyson,51,400,45,120,0.375,23,74,0.311,0.471,21,28,0.75,25,53,78,20,10,6,14,44,134
Anthony Gill,51,397,43,88,0.489,10,31,0.323,0.545,33,50,0.66,18,48,66,16,9,2,10,30,129
Delon Wright,40,635,45,131,0.344,20,73,0.274,0.42,15,25,0.6,27,39,66,77,35,12,22,25,125
Colin Castleton,26,432,46,98,0.469,2,16,0.125,0.48,29,38,0.763,53,69,122,28,8,10,23,51,123
Branden Carlson,32,246,43,97,0.443,22,66,0.333,0.557,14,18,0.778,17,37,54,14,5,21,7,22,122
Kevin Love,23,251,41,115,0.357,24,67,0.358,0.461,16,23,0.696,22,72,94,22,15,4,14,21,122
Isaiah Wong,20,265,41,105,0.39,13,33,0.394,0.452,25,34,0.735,14,18,32,28,11,0,18,21,120
Josh Minott,46,276,44,90,0.489,14,43,0.326,0.567,17,19,0.895,12,35,47,18,15,12,11,34,119
Jared Rhoden,14,227,42,87,0.483,12,39,0.308,0.552,22,25,0.88,14,28,42,16,10,2,9,20,118
Robert Williams,20,351,50,78,0.641,1,3,0.333,0.647,15,17,0.882,35,83,118,21,13,33,17,31,116
Maxwell Lewis,28,327,45,108,0.417,19,50,0.38,0.505,7,10,0.7,18,37,55,19,9,7,14,29,116
Dariq Whitehead,20,246,39,96,0.406,33,74,0.446,0.578,3,5,0.6,4,25,29,12,6,1,15,22,114
Dwight Powell,55,551,42,61,0.689,2,5,0.4,0.705,28,43,0.651,47,71,118,55,18,21,18,75,114
Baylor Scheierman,31,384,39,110,0.355,26,82,0.317,0.473,9,12,0.75,19,46,65,33,17,2,12,22,113
John Konchar,46,558,41,91,0.451,23,62,0.371,0.577,7,8,0.875,37,114,151,42,30,14,16,32,112
Matisse Thybulle,15,312,42,88,0.477,21,48,0.438,0.597,7,15,0.467,14,38,52,28,33,9,13,14,112
Patty Mills,29,321,36,96,0.375,26,75,0.347,0.51,13,14,0.929,4,18,22,26,13,3,17,24,111
Damion Baugh,15,370,42,130,0.323,12,56,0.214,0.369,13,15,0.867,14,36,50,56,15,2,31,22,109
Drew Timme,9,254,45,102,0.441,9,35,0.257,0.485,10,16,0.625,17,48,65,20,4,1,15,21,109
Jaden Springer,43,365,35,90,0.389,12,48,0.25,0.456,27,38,0.711,17,41,58,33,24,4,16,42,109
Torrey Craig,26,314,38,90,0.422,24,66,0.364,0.556,8,12,0.667,27,46,73,17,8,12,8,34,108
Taj Gibson,37,409,47,95,0.495,1,2,0.5,0.5,12,20,0.6,51,69,120,21,9,18,25,54,107
Oscar Tshiebwe,14,255,42,70,0.6,0,0,,0.6,23,31,0.742,46,76,122,9,13,1,10,24,107
Cam Spencer,25,252,34,82,0.415,19,52,0.365,0.53,19,19,1,12,18,30,34,9,1,6,23,106
Jalen Hood-Schifino,15,315,37,98,0.378,14,46,0.304,0.449,18,21,0.857,3,24,27,37,5,7,18,25,106
Cam Reddish,33,589,38,94,0.404,13,47,0.277,0.473,16,26,0.615,17,49,66,22,33,10,12,43,105
Johnny Furphy,50,379,35,92,0.38,15,50,0.3,0.462,18,22,0.818,23,48,71,19,18,11,12,41,103
Maxi Kleber,34,637,37,96,0.385,13,49,0.265,0.453,16,21,0.762,25,70,95,43,9,17,23,66,103
Pat Spencer,39,250,41,101,0.406,5,22,0.227,0.431,11,15,0.733,15,31,46,48,14,3,18,20,98
Jericho Sims,53,632,45,71,0.634,0,0,,0.634,8,13,0.615,71,126,197,33,10,19,33,65,98
Jordan McLaughlin,46,314,31,72,0.431,19,46,0.413,0.563,17,22,0.773,6,24,30,51,16,1,16,18,98
Trey Jemison,38,392,41,74,0.554,0,0,,0.554,13,33,0.394,44,61,105,16,9,15,24,69,95
Reece Beekman,36,469,35,107,0.327,7,40,0.175,0.36,16,21,0.762,13,26,39,63,33,2,21,36,93
Christian Koloko,37,342,40,66,0.606,0,4,0,0.606,10,14,0.714,35,57,92,16,8,16,12,44,90
Mitchell Robinson,17,290,37,56,0.661,0,0,,0.661,13,19,0.684,52,49,101,13,16,18,10,26,87
Dru Smith,14,268,31,61,0.508,16,30,0.533,0.639,9,12,0.75,12,24,36,23,21,6,17,30,87
Lester Quiñones,13,183,31,78,0.397,13,44,0.295,0.481,11,13,0.846,4,15,19,24,3,2,14,18,86
Elfrid Payton,24,511,40,122,0.328,1,6,0.167,0.332,4,7,0.571,15,64,79,166,24,11,59,36,85
Damion Lee,25,144,27,74,0.365,9,37,0.243,0.426,20,21,0.952,3,17,20,11,6,0,10,6,83
Jordan Walsh,52,403,30,83,0.361,15,55,0.273,0.452,7,12,0.583,23,46,69,19,12,11,17,30,82
Tyler Kolek,41,296,27,82,0.329,14,47,0.298,0.415,13,17,0.765,8,19,27,70,12,4,18,26,81
Johnny Davis,34,242,32,78,0.41,7,29,0.241,0.455,9,15,0.6,10,28,38,11,15,6,7,18,80
MarJon Beauchamp,35,156,27,65,0.415,10,29,0.345,0.492,15,20,0.75,11,33,44,11,4,1,15,14,79
Jaylen Martin,16,239,31,74,0.419,7,23,0.304,0.466,9,10,0.9,11,33,44,17,9,0,12,14,78
Kobe Brown,40,272,33,72,0.458,6,26,0.231,0.5,5,7,0.714,19,46,65,24,7,4,12,23,77
Alex Reese,15,216,26,54,0.481,15,41,0.366,0.62,9,12,0.75,9,38,47,4,10,10,6,21,76
Moses Brown,13,119,34,49,0.694,0,0,,0.694,8,11,0.727,12,32,44,2,6,4,11,17,76
Lamar Stevens,17,155,29,63,0.46,8,27,0.296,0.524,8,11,0.727,4,34,38,8,5,3,10,15,74
Alex Len,46,380,32,63,0.508,2,9,0.222,0.524,8,17,0.471,38,57,95,38,9,21,20,56,74
JT Thor,20,249,25,59,0.424,6,21,0.286,0.475,15,22,0.682,20,28,48,6,8,9,9,17,71
Tristan Thompson,40,328,31,71,0.437,0,3,0,0.437,7,30,0.233,32,102,134,24,2,11,14,36,69
Marcus Bagley,10,253,27,69,0.391,5,32,0.156,0.428,8,10,0.8,23,47,70,10,9,12,7,16,67
Jaylen Nowell,8,168,26,73,0.356,8,27,0.296,0.411,7,11,0.636,6,14,20,18,1,4,8,9,67
Tyler Smith,23,122,24,50,0.48,13,30,0.433,0.61,6,8,0.75,6,19,25,4,3,4,8,11,67
Adam Flagler,37,203,25,96,0.26,14,72,0.194,0.333,1,2,0.5,7,20,27,12,8,3,4,15,65
Jeenathan Williams,20,147,27,62,0.435,6,26,0.231,0.484,5,8,0.625,5,8,13,9,8,4,14,16,65
Bronny James,27,181,21,67,0.313,9,32,0.281,0.381,11,14,0.786,4,14,18,22,9,3,13,13,62
De'Anthony Melton,6,121,22,54,0.407,13,35,0.371,0.528,5,8,0.625,6,14,20,17,7,2,10,18,62
Tony Bradley,14,113,29,45,0.644,1,3,0.333,0.656,2,6,0.333,18,24,42,6,2,9,5,11,61
Markelle Fultz,21,184,28,67,0.418,4,8,0.5,0.448,1,1,1,6,14,20,27,10,2,15,12,61
Cole Swider,10,169,22,63,0.349,15,47,0.319,0.468,0,1,0,5,22,27,3,4,2,4,12,59
Bruno Fernando,17,147,26,49,0.531,0,0,,0.531,6,8,0.75,21,30,51,18,4,9,14,27,58
Dario Šarić,16,210,21,58,0.362,7,26,0.269,0.422,7,10,0.7,14,36,50,23,7,1,15,19,56
Markieff Morris,15,165,21,70,0.3,9,36,0.25,0.364,5,6,0.833,3,20,23,21,2,3,5,16,56
Tyson Etienne,7,151,17,52,0.327,13,44,0.295,0.452,8,10,0.8,3,6,9,12,3,1,8,17,55
Killian Hayes,6,162,18,43,0.419,8,21,0.381,0.512,10,12,0.833,5,13,18,31,4,4,9,13,54
Drew Peterson,25,186,17,41,0.415,13,33,0.394,0.573,7,9,0.778,9,31,40,13,5,2,8,18,54
Kobe Bufkin,10,124,18,47,0.383,4,19,0.211,0.426,13,18,0.722,5,16,21,17,3,2,8,9,53
Garrett Temple,28,227,18,60,0.3,6,28,0.214,0.35,11,12,0.917,9,20,29,31,17,2,10,23,53
Chuma Okeke,9,196,20,40,0.5,11,28,0.393,0.638,2,3,0.667,21,26,47,15,5,4,3,5,53
Patrick Baldwin Jr.,24,107,19,35,0.543,13,23,0.565,0.729,2,4,0.5,5,20,25,3,3,2,5,7,53
Oshae Brissett,6,142,19,39,0.487,6,18,0.333,0.564,8,14,0.571,7,15,22,4,4,3,8,14,52
Ariel Hukporti,25,217,21,31,0.677,0,0,,0.677,6,13,0.462,14,37,51,11,1,15,21,32,48
Enrique Freeman,22,181,16,37,0.432,1,10,0.1,0.446,13,19,0.684,11,19,30,9,3,3,6,21,46
Kevin Knox,14,84,18,36,0.5,4,15,0.267,0.556,6,8,0.75,7,10,17,5,2,4,4,6,46
Keshad Johnson,16,98,18,26,0.692,3,7,0.429,0.75,4,9,0.444,6,22,28,4,5,4,4,11,43
Daeqwon Plowden,6,72,16,25,0.64,9,17,0.529,0.82,2,2,1,4,7,11,2,0,0,4,10,43
Jaylen Sims,6,112,12,28,0.429,6,15,0.4,0.536,12,15,0.8,3,3,6,12,3,1,8,10,42
Pete Nance,13,138,14,32,0.438,9,24,0.375,0.578,1,2,0.5,5,16,21,10,2,2,4,17,38
Emoni Bates,10,75,13,38,0.342,11,30,0.367,0.487,0,0,,0,7,7,8,1,1,2,4,37
Chris Duarte,17,74,12,26,0.462,6,15,0.4,0.577,6,8,0.75,5,15,20,9,0,0,1,7,36
Alex Ducas,21,125,12,30,0.4,10,21,0.476,0.567,2,2,1,9,17,26,5,5,0,4,12,36
Yuki Kawamura,22,93,11,30,0.367,7,23,0.304,0.483,7,9,0.778,0,12,12,19,2,0,5,8,36
Nae'Qwan Tomlin,5,63,13,32,0.406,2,10,0.2,0.438,8,11,0.727,9,12,21,2,0,1,2,9,36
Isaiah Jackson,5,84,14,23,0.609,0,0,,0.609,7,14,0.5,11,17,28,5,3,8,5,14,35
TyTy Washington Jr.,16,118,14,45,0.311,4,21,0.19,0.356,3,6,0.5,4,9,13,16,3,0,3,4,35
Xavier Tillman Sr.,33,231,13,53,0.245,5,32,0.156,0.292,3,4,0.75,10,33,43,7,11,5,14,18,34
Kylor Kelley,11,126,14,22,0.636,0,0,,0.636,6,10,0.6,12,27,39,5,1,3,4,15,34
JD Davison,16,93,12,34,0.353,4,18,0.222,0.412,5,7,0.714,2,11,13,13,5,1,13,2,33
PJ Hall,19,66,14,24,0.583,2,8,0.25,0.625,3,4,0.75,6,16,22,4,0,4,2,11,33
Trey Alexander,24,117,13,41,0.317,3,17,0.176,0.354,3,4,0.75,1,11,12,11,2,1,5,10,32
Elijah Harkless,10,138,11,35,0.314,7,25,0.28,0.414,3,6,0.5,9,12,21,8,10,1,3,18,32
Josh Richardson,8,150,11,38,0.289,6,22,0.273,0.368,4,4,1,6,6,12,12,8,1,8,17,32
Sidy Cissoko,22,114,13,30,0.433,3,13,0.231,0.483,3,9,0.333,8,13,21,15,2,1,11,10,32
Pacome Dadiet,18,111,10,31,0.323,6,19,0.316,0.419,4,6,0.667,3,15,18,5,3,2,4,7,30
RayJ Dennis,11,70,11,33,0.333,6,21,0.286,0.424,2,2,1,2,10,12,14,7,2,5,7,30
Chris Livingston,21,106,9,27,0.333,0,8,0,0.333,12,16,0.75,10,25,35,5,5,0,6,8,30
Josh Christopher,14,69,11,31,0.355,2,11,0.182,0.387,4,6,0.667,0,9,9,8,5,3,6,2,28
Marcus Garrett,4,79,11,27,0.407,3,8,0.375,0.463,3,4,0.75,1,5,6,13,3,2,6,10,28
Matt Ryan,19,68,10,31,0.323,6,19,0.316,0.419,2,2,1,0,8,8,3,2,0,3,1,28
Spencer Jones,20,125,11,34,0.324,1,17,0.059,0.338,3,3,1,8,9,17,5,5,5,5,17,26
Vlatko Čančar,13,136,10,26,0.385,4,15,0.267,0.462,0,0,,6,26,32,9,3,2,11,10,24
N'Faly Dante,4,51,10,13,0.769,0,0,,0.769,4,5,0.8,6,15,21,2,1,5,2,9,24
Jazian Gortman,16,57,9,23,0.391,4,11,0.364,0.478,2,4,0.5,1,4,5,6,2,1,5,9,24
Jae Crowder,9,103,7,22,0.318,4,15,0.267,0.409,5,6,0.833,6,14,20,6,3,0,4,10,23
Mason Jones,10,45,9,18,0.5,1,8,0.125,0.528,4,5,0.8,2,7,9,11,0,1,1,3,23
Jacob Toppin,17,76,9,22,0.409,5,10,0.5,0.523,0,0,,3,12,15,6,2,0,3,3,23
Jackson Rowe,6,52,8,17,0.471,3,10,0.3,0.559,3,6,0.5,3,8,11,4,4,0,1,4,22
E.J. Liddell,12,53,8,15,0.533,3,10,0.3,0.633,2,2,1,3,6,9,3,1,1,2,11,21
Leonard Miller,13,32,6,15,0.4,0,5,0,0.4,8,8,1,3,8,11,0,2,1,2,2,20
Cam Christie,13,59,7,24,0.292,2,13,0.154,0.333,2,4,0.5,3,9,12,6,5,1,2,4,18
Justin Minaya,19,101,8,21,0.381,2,10,0.2,0.429,0,2,0,5,5,10,7,6,1,5,12,18
Jamaree Bouyea,5,62,6,12,0.5,1,5,0.2,0.542,4,6,0.667,1,4,5,10,4,2,8,2,17
David Duke Jr.,6,34,6,14,0.429,3,6,0.5,0.536,1,2,0.5,1,4,5,4,1,0,2,1,16
Malachi Flynn,4,44,5,13,0.385,1,4,0.25,0.423,5,6,0.833,3,4,7,7,3,0,4,4,16
Joe Ingles,19,114,6,23,0.261,3,15,0.2,0.326,0,0,,2,9,11,23,2,0,9,12,15
Bobi Klintman,8,42,6,10,0.6,2,5,0.4,0.7,1,2,0.5,1,6,7,7,2,1,1,8,15
Stanley Umude,22,86,5,26,0.192,3,15,0.2,0.25,2,4,0.5,4,13,17,4,3,6,3,8,15
Taylor Hendricks,3,75,4,18,0.222,3,12,0.25,0.306,3,4,0.75,5,10,15,2,5,4,2,8,14
Jack McVeigh,9,43,5,17,0.294,4,13,0.308,0.412,0,0,,2,3,5,1,0,2,2,3,14
Tolu Smith,1,22,6,9,0.667,0,0,,0.667,2,3,0.667,4,4,8,0,0,0,2,3,14
Armel Traoré,9,67,6,19,0.316,0,7,0,0.316,2,7,0.286,2,13,15,1,4,2,3,6,14
Isaiah Crawford,15,46,5,11,0.455,1,5,0.2,0.5,2,4,0.5,1,7,8,1,1,2,1,2,13
Bryce McGowens,13,32,4,14,0.286,0,4,0,0.286,5,6,0.833,2,1,3,2,1,0,4,3,13
Luke Travers,12,88,5,20,0.25,0,9,0,0.25,2,2,1,8,12,20,8,1,1,8,6,12
Trentyn Flowers,6,27,4,11,0.364,0,2,0,0.364,3,3,1,1,3,4,0,0,0,1,4,11
Jahmir Young,6,30,4,5,0.8,1,2,0.5,0.9,2,2,1,1,2,3,6,0,0,1,2,11
Emanuel Miller,6,25,4,8,0.5,0,1,0,0.5,2,2,1,4,4,8,2,1,0,0,3,10
Jalen Bridges,8,30,2,7,0.286,2,7,0.286,0.429,3,4,0.75,0,4,4,0,0,0,4,0,9
Liam Robbins,13,57,2,8,0.25,0,2,0,0.25,5,10,0.5,7,5,12,2,2,2,6,9,9
P.J. Tucker,3,58,3,7,0.429,3,6,0.5,0.643,0,0,,4,4,8,0,1,1,1,8,9
James Johnson,12,37,4,11,0.364,0,3,0,0.364,0,1,0,0,6,6,4,0,2,4,5,8
Adama Sanogo,4,21,4,7,0.571,0,0,,0.571,0,0,,5,1,6,1,0,0,1,1,8
Anton Watson,9,22,4,9,0.444,0,1,0,0.444,0,0,,1,2,3,2,1,0,2,3,8
Phillip Wheeler,5,44,3,21,0.143,0,10,0,0.143,2,2,1,2,6,8,2,1,2,1,1,8
PJ Dozier,9,35,2,3,0.667,2,3,0.667,1,1,6,0.167,1,4,5,5,1,0,1,3,7
Daniss Jenkins,7,23,3,10,0.3,1,7,0.143,0.35,0,2,0,0,2,2,3,0,0,1,2,7
Miles Norris,3,35,2,9,0.222,2,7,0.286,0.333,1,2,0.5,2,7,9,0,2,1,0,0,7
Kevin McCullar Jr.,4,29,2,7,0.286,0,1,0,0.286,2,2,1,0,8,8,2,1,1,0,6,6
Isaiah Mobley,1,17,2,7,0.286,1,3,0.333,0.357,1,2,0.5,1,3,4,5,1,1,0,3,6
Taze Moore,2,20,2,10,0.2,1,4,0.25,0.25,1,2,0.5,4,4,8,1,2,0,2,0,6
James Wiseman,1,5,2,4,0.5,0,1,0,0.5,2,2,1,0,1,1,0,0,0,0,0,6
Ulrich Chomche,7,32,2,5,0.4,0,0,,0.4,1,2,0.5,4,4,8,2,0,1,2,5,5
Skal Labissière,4,12,2,4,0.5,1,1,1,0.625,0,0,,1,2,3,1,0,0,0,1,5
Alondes Williams,1,4,2,2,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5
Ron Harper Jr.,1,17,1,8,0.125,0,6,0,0.125,2,2,1,4,3,7,2,0,0,0,0,4
Harrison Ingram,5,35,2,4,0.5,0,1,0,0.5,0,0,,2,7,9,3,3,0,1,2,4
D.J. Carton,4,33,1,7,0.143,0,3,0,0.143,1,1,1,0,4,4,3,2,0,4,1,3
Cui Yongxi,5,10,1,7,0.143,0,3,0,0.143,1,2,0.5,0,2,2,0,0,0,0,0,3
Braxton Key,3,11,0,4,0,0,1,0,0,3,6,0.5,1,1,2,0,2,0,1,0,3
Tristen Newton,8,16,1,8,0.125,0,3,0,0.125,1,1,1,2,2,4,2,1,0,2,4,3
Quincy Olivari,2,10,1,5,0.2,1,5,0.2,0.3,0,0,,0,0,0,1,0,0,1,0,3
Yuri Collins,2,16,1,3,0.333,0,0,,0.333,0,0,,2,1,3,4,2,0,0,5,2
Malevy Leons,6,21,0,2,0,0,1,0,0,2,4,0.5,1,2,3,1,0,0,1,4,2
Daishen Nix,3,13,0,1,0,0,1,0,0,1,2,0.5,0,4,4,3,0,0,4,1,1
Terence Davis,1,8,0,2,0,0,1,0,0,0,0,,0,1,1,1,0,0,0,0,0
Jesse Edwards,2,5,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0
Mac McClung,2,10,0,2,0,0,1,0,0,0,0,,0,1,1,3,0,0,0,2,0
Jalen McDaniels,4,7,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0
Riley Minix,1,7,0,1,0,0,1,0,0,0,0,,0,2,2,0,0,0,0,0,0
Jahlil Okafor,1,3,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
Zyon Pullin,3,3,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Isaiah Stevens,3,6,0,2,0,0,1,0,0,0,0,,0,2,2,0,1,0,0,0,0
Terry Taylor,3,6,0,1,0,0,0,,0,0,0,,1,0,1,2,0,0,0,0,0
