Player,G,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dereck Lively II,36,833,134,191,0.702,0,0,,0.702,46,73,0.63,104,166,270,85,20,56,41,100,314
Nicolas Batum,78,1367,104,238,0.437,88,203,0.433,0.622,17,21,0.81,47,171,218,84,52,36,34,111,313
Jabari Walker,60,749,118,229,0.515,28,72,0.389,0.576,49,71,0.69,59,152,211,37,33,6,34,87,313
Neemias Queta,62,863,132,203,0.65,0,3,0,0.65,46,61,0.754,89,147,236,45,18,42,40,106,310
Malcolm Brogdon,24,564,104,240,0.433,16,56,0.286,0.467,81,92,0.88,21,70,91,98,13,5,38,30,305
Antonio Reeves,44,660,113,248,0.456,51,129,0.395,0.558,28,35,0.8,18,45,63,39,21,4,30,40,305
Marcus Smart,34,680,101,257,0.393,49,141,0.348,0.488,54,71,0.761,18,54,72,109,39,9,54,53,305
Orlando Robinson,44,770,116,261,0.444,17,52,0.327,0.477,54,70,0.771,89,131,220,77,17,16,49,100,303
Andre Drummond,40,751,117,234,0.5,3,20,0.15,0.506,56,90,0.622,109,201,310,34,39,18,55,94,293
Kris Murray,69,1040,117,279,0.419,27,120,0.225,0.468,26,57,0.456,76,106,182,68,35,17,43,66,287
Landry Shamet,50,762,106,230,0.461,62,156,0.397,0.596,12,18,0.667,11,50,61,27,23,2,22,52,286
Jeff Dowtin Jr.,41,621,112,230,0.487,28,70,0.4,0.548,33,45,0.733,12,48,60,78,24,12,15,29,285
Josh Okogie,40,625,94,212,0.443,32,92,0.348,0.519,63,85,0.741,45,68,113,33,48,18,31,47,283
KJ Simpson,36,842,104,301,0.346,33,130,0.254,0.4,41,50,0.82,39,70,109,112,34,6,56,56,282
Drew Eubanks,61,746,115,194,0.593,3,6,0.5,0.601,47,71,0.662,60,166,226,54,12,39,41,63,280
Jaylin Williams,47,784,97,221,0.439,61,153,0.399,0.577,23,30,0.767,48,214,262,120,22,29,35,79,278
Brandon Williams,33,487,98,188,0.521,24,60,0.4,0.585,55,66,0.833,12,46,58,76,24,5,39,33,275
KJ Martin,43,912,111,201,0.552,15,58,0.259,0.59,37,47,0.787,30,95,125,48,17,22,24,101,274
Vasilije Micić,41,785,95,273,0.348,45,125,0.36,0.43,34,41,0.829,20,69,89,128,15,0,77,45,269
Lonzo Ball,35,777,89,243,0.366,67,195,0.344,0.504,22,27,0.815,25,93,118,115,47,17,41,55,267
Tosan Evbuomwan,28,665,94,220,0.427,24,77,0.312,0.482,55,73,0.753,32,88,120,55,24,10,39,55,267
Jett Howard,60,701,98,262,0.374,55,186,0.296,0.479,16,23,0.696,20,50,70,44,13,11,36,68,267
Eric Gordon,39,768,87,204,0.426,56,137,0.409,0.564,36,48,0.75,8,38,46,65,26,12,28,32,266
Lindy Waters III,52,778,92,249,0.369,64,186,0.344,0.498,8,11,0.727,20,90,110,52,27,11,20,62,256
Ben Simmons,51,1120,116,223,0.52,0,0,,0.52,24,33,0.727,47,194,241,285,38,23,102,107,256
Oso Ighodaro,61,1045,113,187,0.604,0,2,0,0.604,29,50,0.58,66,156,222,71,28,29,39,102,255
Pelle Larsson,55,782,89,203,0.438,32,95,0.337,0.517,41,61,0.672,28,64,92,65,32,7,24,91,251
Lonnie Walker IV,20,477,89,212,0.42,45,127,0.354,0.526,24,30,0.8,6,57,63,50,10,5,25,27,247
Bol Bol,36,448,96,183,0.525,32,93,0.344,0.612,20,26,0.769,20,84,104,22,9,25,20,20,244
Caleb Houstan,58,788,80,190,0.421,64,160,0.4,0.589,15,17,0.882,19,56,75,35,22,6,13,62,239
A.J. Lawson,26,486,80,190,0.421,33,101,0.327,0.508,43,63,0.683,20,66,86,31,13,6,15,44,236
Malaki Branham,47,427,87,190,0.458,34,84,0.405,0.547,27,33,0.818,7,44,51,38,11,2,34,29,235
Ajay Mitchell,36,597,91,184,0.495,23,60,0.383,0.557,29,35,0.829,18,50,68,64,25,4,29,68,234
Monte Morris,45,571,83,195,0.426,31,86,0.36,0.505,36,42,0.857,12,55,67,73,20,3,21,23,233
Richaun Holmes,31,534,90,139,0.647,0,3,0,0.647,50,60,0.833,62,115,177,42,9,23,21,49,230
Andre Jackson Jr.,67,980,94,197,0.477,30,76,0.395,0.553,12,24,0.5,65,117,182,83,34,14,58,114,230
Cody Williams,50,1060,83,257,0.323,35,135,0.259,0.391,29,40,0.725,27,86,113,59,23,16,44,95,230
Reed Sheppard,52,654,84,239,0.351,48,142,0.338,0.452,13,16,0.813,16,62,78,75,35,17,37,53,229
Gui Santos,56,762,82,179,0.458,34,103,0.33,0.553,29,42,0.69,72,100,172,80,25,10,42,91,227
Steven Adams,58,794,91,167,0.545,0,2,0,0.545,43,93,0.462,166,161,327,66,22,28,54,60,225
AJ Johnson,29,639,82,213,0.385,24,90,0.267,0.441,32,37,0.865,8,51,59,76,12,3,35,50,220
Rob Dillingham,49,516,93,211,0.441,25,74,0.338,0.5,8,15,0.533,12,38,50,98,20,1,53,37,219
Blake Wesley,58,683,81,186,0.435,17,58,0.293,0.481,38,61,0.623,17,44,61,114,37,6,54,46,217
Pat Connaughton,41,603,83,177,0.469,26,81,0.321,0.542,24,31,0.774,19,90,109,70,9,11,24,45,216
GG Jackson II,29,459,74,199,0.372,32,95,0.337,0.452,29,40,0.725,27,65,92,29,12,5,31,30,209
DeAndre Jordan,56,691,91,140,0.65,0,0,,0.65,27,64,0.422,84,200,284,53,16,27,40,74,209
Herbert Jones,20,648,75,172,0.436,22,72,0.306,0.5,33,40,0.825,22,56,78,65,37,9,35,66,205
Larry Nance Jr.,24,463,80,155,0.516,34,76,0.447,0.626,9,13,0.692,23,80,103,38,20,13,16,37,203
